pair,file,column,arm,min_ns,bytes
14,citm_catalog,struct-stringify,fold-on,276800,500299
15,citm_catalog,struct-stringify,fold-off,284300,500299
15,citm_catalog,struct-stringify,fold-on,287900,500299
16,citm_catalog,struct-stringify,fold-off,272100,500299
16,citm_catalog,struct-stringify,fold-on,288800,500299
17,citm_catalog,struct-stringify,fold-off,283800,500299
17,citm_catalog,struct-stringify,fold-on,276300,500299
18,citm_catalog,struct-stringify,fold-off,279000,500299
18,citm_catalog,struct-stringify,fold-on,276200,500299
19,citm_catalog,struct-stringify,fold-off,274900,500299
19,citm_catalog,struct-stringify,fold-on,274600,500299
20,citm_catalog,struct-stringify,fold-off,264000,500299
20,citm_catalog,struct-stringify,fold-on,275900,500299
21,citm_catalog,struct-stringify,fold-off,278100,500299
21,citm_catalog,struct-stringify,fold-on,276000,500299
22,citm_catalog,struct-stringify,fold-off,284700,500299
22,citm_catalog,struct-stringify,fold-on,274700,500299
23,citm_catalog,struct-stringify,fold-off,280400,500299
23,citm_catalog,struct-stringify,fold-on,262500,500299
24,citm_catalog,struct-stringify,fold-off,272900,500299
24,citm_catalog,struct-stringify,fold-on,275600,500299
25,citm_catalog,struct-stringify,fold-off,265000,500299
25,citm_catalog,struct-stringify,fold-on,258400,500299
26,citm_catalog,struct-stringify,fold-off,273600,500299
26,citm_catalog,struct-stringify,fold-on,275500,500299
27,citm_catalog,struct-stringify,fold-off,272400,500299
27,citm_catalog,struct-stringify,fold-on,274500,500299
28,citm_catalog,struct-stringify,fold-off,259000,500299
28,citm_catalog,struct-stringify,fold-on,264500,500299
29,citm_catalog,struct-stringify,fold-off,279400,500299
29,citm_catalog,struct-stringify,fold-on,282300,500299
30,citm_catalog,struct-stringify,fold-off,285900,500299
30,citm_catalog,struct-stringify,fold-on,278300,500299
31,citm_catalog,struct-stringify,fold-off,279600,500299
31,citm_catalog,struct-stringify,fold-on,295200,500299
32,citm_catalog,struct-stringify,fold-off,291200,500299
32,citm_catalog,struct-stringify,fold-on,287900,500299
33,citm_catalog,struct-stringify,fold-off,305200,500299
33,citm_catalog,struct-stringify,fold-on,307000,500299
34,citm_catalog,struct-stringify,fold-off,305800,500299
34,citm_catalog,struct-stringify,fold-on,330500,500299
35,citm_catalog,struct-stringify,fold-off,290500,500299
35,citm_catalog,struct-stringify,fold-on,288400,500299
36,citm_catalog,struct-stringify,fold-off,285600,500299
36,citm_catalog,struct-stringify,fold-on,280800,500299
37,citm_catalog,struct-stringify,fold-off,278300,500299
37,citm_catalog,struct-stringify,fold-on,259500,500299
38,citm_catalog,struct-stringify,fold-off,263000,500299
38,citm_catalog,struct-stringify,fold-on,281000,500299
39,citm_catalog,struct-stringify,fold-off,289300,500299
39,citm_catalog,struct-stringify,fold-on,274600,500299
40,citm_catalog,struct-stringify,fold-off,278900,500299
40,citm_catalog,struct-stringify,fold-on,281900,500299
41,citm_catalog,struct-stringify,fold-off,277000,500299
41,citm_catalog,struct-stringify,fold-on,268700,500299
1,s4-frame-telemetry,struct-stringify,fold-off,801600,595115
1,s4-frame-telemetry,struct-stringify,fold-on,895600,595115
2,s4-frame-telemetry,struct-stringify,fold-off,731800,595115
2,s4-frame-telemetry,struct-stringify,fold-on,809500,595115
3,s4-frame-telemetry,struct-stringify,fold-off,682500,595115
3,s4-frame-telemetry,struct-stringify,fold-on,705100,595115
4,s4-frame-telemetry,struct-stringify,fold-off,705700,595115
4,s4-frame-telemetry,struct-stringify,fold-on,701900,595115
5,s4-frame-telemetry,struct-stringify,fold-off,696500,595115
5,s4-frame-telemetry,struct-stringify,fold-on,702200,595115
6,s4-frame-telemetry,struct-stringify,fold-off,757900,595115
6,s4-frame-telemetry,struct-stringify,fold-on,701000,595115
7,s4-frame-telemetry,struct-stringify,fold-off,698000,595115
7,s4-frame-telemetry,struct-stringify,fold-on,679700,595115
8,s4-frame-telemetry,struct-stringify,fold-off,699200,595115
8,s4-frame-telemetry,struct-stringify,fold-on,649000,595115
9,s4-frame-telemetry,struct-stringify,fold-off,697200,595115
9,s4-frame-telemetry,struct-stringify,fold-on,700200,595115
10,s4-frame-telemetry,struct-stringify,fold-off,694200,595115
10,s4-frame-telemetry,struct-stringify,fold-on,697100,595115
11,s4-frame-telemetry,struct-stringify,fold-off,735000,595115
11,s4-frame-telemetry,struct-stringify,fold-on,738000,595115
12,s4-frame-telemetry,struct-stringify,fold-off,702100,595115
12,s4-frame-telemetry,struct-stringify,fold-on,678200,595115
13,s4-frame-telemetry,struct-stringify,fold-off,697900,595115
13,s4-frame-telemetry,struct-stringify,fold-on,702200,595115
14,s4-frame-telemetry,struct-stringify,fold-off,726800,595115
14,s4-frame-telemetry,struct-stringify,fold-on,717500,595115
15,s4-frame-telemetry,struct-stringify,fold-off,722700,595115
15,s4-frame-telemetry,struct-stringify,fold-on,732500,595115
16,s4-frame-telemetry,struct-stringify,fold-off,696200,595115
16,s4-frame-telemetry,struct-stringify,fold-on,733600,595115
17,s4-frame-telemetry,struct-stringify,fold-off,663400,595115
17,s4-frame-telemetry,struct-stringify,fold-on,701200,595115
18,s4-frame-telemetry,struct-stringify,fold-off,645100,595115
18,s4-frame-telemetry,struct-stringify,fold-on,673400,595115
19,s4-frame-telemetry,struct-stringify,fold-off,646200,595115
19,s4-frame-telemetry,struct-stringify,fold-on,651200,595115
20,s4-frame-telemetry,struct-stringify,fold-off,698700,595115
20,s4-frame-telemetry,struct-stringify,fold-on,701900,595115
21,s4-frame-telemetry,struct-stringify,fold-off,693300,595115
21,s4-frame-telemetry,struct-stringify,fold-on,650300,595115
22,s4-frame-telemetry,struct-stringify,fold-off,679600,595115
22,s4-frame-telemetry,struct-stringify,fold-on,647900,595115
23,s4-frame-telemetry,struct-stringify,fold-off,694200,595115
23,s4-frame-telemetry,struct-stringify,fold-on,692700,595115
24,s4-frame-telemetry,struct-stringify,fold-off,649500,595115
