pair,file,column,arm,min_ns,bytes
58,canada,dom-stringify,avx2,1947500,2063469
59,canada,dom-stringify,swar8,2021800,2063469
59,canada,dom-stringify,avx2,2006200,2063469
60,canada,dom-stringify,swar8,2038600,2063469
60,canada,dom-stringify,avx2,1967700,2063469
61,canada,dom-stringify,swar8,1985500,2063469
61,canada,dom-stringify,avx2,2034100,2063469
1,canada,scan,swar8,1841900,2251051
1,canada,scan,avx2,1855100,2251051
2,canada,scan,swar8,1856700,2251051
2,canada,scan,avx2,1857400,2251051
3,canada,scan,swar8,1846300,2251051
3,canada,scan,avx2,1832500,2251051
4,canada,scan,swar8,1881300,2251051
4,canada,scan,avx2,1867700,2251051
5,canada,scan,swar8,1858200,2251051
5,canada,scan,avx2,1866000,2251051
6,canada,scan,swar8,1864800,2251051
6,canada,scan,avx2,1850900,2251051
7,canada,scan,swar8,1866300,2251051
7,canada,scan,avx2,1881900,2251051
8,canada,scan,swar8,1877000,2251051
8,canada,scan,avx2,1861500,2251051
9,canada,scan,swar8,1857300,2251051
9,canada,scan,avx2,1866100,2251051
10,canada,scan,swar8,1864600,2251051
10,canada,scan,avx2,1866000,2251051
11,canada,scan,swar8,1876200,2251051
11,canada,scan,avx2,1855100,2251051
12,canada,scan,swar8,1870200,2251051
12,canada,scan,avx2,1857200,2251051
13,canada,scan,swar8,1863300,2251051
13,canada,scan,avx2,1875500,2251051
14,canada,scan,swar8,1873300,2251051
14,canada,scan,avx2,1889300,2251051
15,canada,scan,swar8,1863500,2251051
15,canada,scan,avx2,1871600,2251051
16,canada,scan,swar8,1855100,2251051
16,canada,scan,avx2,1798700,2251051
17,canada,scan,swar8,1871700,2251051
17,canada,scan,avx2,1842900,2251051
18,canada,scan,swar8,1846000,2251051
18,canada,scan,avx2,1879700,2251051
19,canada,scan,swar8,1834600,2251051
19,canada,scan,avx2,1861100,2251051
20,canada,scan,swar8,1833400,2251051
20,canada,scan,avx2,1849100,2251051
21,canada,scan,swar8,1832300,2251051
21,canada,scan,avx2,1835000,2251051
22,canada,scan,swar8,1839000,2251051
22,canada,scan,avx2,1860000,2251051
23,canada,scan,swar8,1842600,2251051
23,canada,scan,avx2,1851600,2251051
24,canada,scan,swar8,1832700,2251051
24,canada,scan,avx2,1855500,2251051
25,canada,scan,swar8,1816300,2251051
25,canada,scan,avx2,1843900,2251051
26,canada,scan,swar8,1818000,2251051
26,canada,scan,avx2,1855400,2251051
27,canada,scan,swar8,1846900,2251051
27,canada,scan,avx2,1839800,2251051
28,canada,scan,swar8,1840900,2251051
28,canada,scan,avx2,1847900,2251051
29,canada,scan,swar8,1843000,2251051
29,canada,scan,avx2,1862900,2251051
30,canada,scan,swar8,1863000,2251051
30,canada,scan,avx2,1839300,2251051
31,canada,scan,swar8,1850300,2251051
31,canada,scan,avx2,1843100,2251051
32,canada,scan,swar8,1845100,2251051
32,canada,scan,avx2,1844900,2251051
33,canada,scan,swar8,1836800,2251051
33,canada,scan,avx2,1835900,2251051
34,canada,scan,swar8,1845300,2251051
34,canada,scan,avx2,1858700,2251051
35,canada,scan,swar8,1844800,2251051
35,canada,scan,avx2,1839700,2251051
36,canada,scan,swar8,1839600,2251051
36,canada,scan,avx2,1840900,2251051
37,canada,scan,swar8,1845500,2251051
37,canada,scan,avx2,1851300,2251051
38,canada,scan,swar8,1851800,2251051
38,canada,scan,avx2,1829400,2251051
39,canada,scan,swar8,1841000,2251051
39,canada,scan,avx2,1841400,2251051
40,canada,scan,swar8,1840400,2251051
40,canada,scan,avx2,1856700,2251051
41,canada,scan,swar8,1833700,2251051
41,canada,scan,avx2,1839300,2251051
42,canada,scan,swar8,1844500,2251051
42,canada,scan,avx2,1846400,2251051
43,canada,scan,swar8,1833300,2251051
43,canada,scan,avx2,1836000,2251051
44,canada,scan,swar8,1857400,2251051
44,canada,scan,avx2,1848800,2251051
45,canada,scan,swar8,1850500,2251051
45,canada,scan,avx2,1852800,2251051
46,canada,scan,swar8,1856100,2251051
46,canada,scan,avx2,1888100,2251051
47,canada,scan,swar8,1873200,2251051
47,canada,scan,avx2,1857600,2251051
48,canada,scan,swar8,1759100,2251051
48,canada,scan,avx2,1821900,2251051
49,canada,scan,swar8,1837400,2251051
49,canada,scan,avx2,1848400,2251051
50,canada,scan,swar8,1860500,2251051
50,canada,scan,avx2,1848400,2251051
51,canada,scan,swar8,1857900,2251051
51,canada,scan,avx2,1836800,2251051
52,canada,scan,swar8,1836300,2251051
52,canada,scan,avx2,1854000,2251051
53,canada,scan,swar8,1816100,2251051
53,canada,scan,avx2,1845300,2251051
54,canada,scan,swar8,1852500,2251051
54,canada,scan,avx2,1840800,2251051
55,canada,scan,swar8,1843100,2251051
55,canada,scan,avx2,1828400,2251051
56,canada,scan,swar8,1861000,2251051
56,canada,scan,avx2,1845000,2251051
57,canada,scan,swar8,1844600,2251051
57,canada,scan,avx2,1844300,2251051
58,canada,scan,swar8,1842600,2251051
58,canada,scan,avx2,1846200,2251051
59,canada,scan,swar8,1841300,2251051
59,canada,scan,avx2,1835600,2251051
60,canada,scan,swar8,1842400,2251051
60,canada,scan,avx2,1831900,2251051
61,canada,scan,swar8,1857700,2251051
61,canada,scan,avx2,1855200,2251051
1,citm_catalog,dom-parse,swar8,3475500,1727204
1,citm_catalog,dom-parse,avx2,3559900,1727204
2,citm_catalog,dom-parse,swar8,3543100,1727204
2,citm_catalog,dom-parse,avx2,3530700,1727204
3,citm_catalog,dom-parse,swar8,3603700,1727204
3,citm_catalog,dom-parse,avx2,3546200,1727204
4,citm_catalog,dom-parse,swar8,3552500,1727204
4,citm_catalog,dom-parse,avx2,3580700,1727204
5,citm_catalog,dom-parse,swar8,3548000,1727204
5,citm_catalog,dom-parse,avx2,3531900,1727204
6,citm_catalog,dom-parse,swar8,3554700,1727204
6,citm_catalog,dom-parse,avx2,3563700,1727204
7,citm_catalog,dom-parse,swar8,3523900,1727204
7,citm_catalog,dom-parse,avx2,3513900,1727204
8,citm_catalog,dom-parse,swar8,3552000,1727204
8,citm_catalog,dom-parse,avx2,3550000,1727204
9,citm_catalog,dom-parse,swar8,3562500,1727204
9,citm_catalog,dom-parse,avx2,3613800,1727204
10,citm_catalog,dom-parse,swar8,3590600,1727204
10,citm_catalog,dom-parse,avx2,3627200,1727204
11,citm_catalog,dom-parse,swar8,3589700,1727204
11,citm_catalog,dom-parse,avx2,3537100,1727204
12,citm_catalog,dom-parse,swar8,3593000,1727204
12,citm_catalog,dom-parse,avx2,3544300,1727204
13,citm_catalog,dom-parse,swar8,3594700,1727204
13,citm_catalog,dom-parse,avx2,3506100,1727204
14,citm_catalog,dom-parse,swar8,3603300,1727204
14,citm_catalog,dom-parse,avx2,3623400,1727204
15,citm_catalog,dom-parse,swar8,3566200,1727204
15,citm_catalog,dom-parse,avx2,3449900,1727204
16,citm_catalog,dom-parse,swar8,3529100,1727204
16,citm_catalog,dom-parse,avx2,3533200,1727204
17,citm_catalog,dom-parse,swar8,3519300,1727204
17,citm_catalog,dom-parse,avx2,3385400,1727204
18,citm_catalog,dom-parse,swar8,3519200,1727204
18,citm_catalog,dom-parse,avx2,3499800,1727204
19,citm_catalog,dom-parse,swar8,3424800,1727204
19,citm_catalog,dom-parse,avx2,3410600,1727204
20,citm_catalog,dom-parse,swar8,3558100,1727204
20,citm_catalog,dom-parse,avx2,3383600,1727204
21,citm_catalog,dom-parse,swar8,3437400,1727204
21,citm_catalog,dom-parse,avx2,3472900,1727204
22,citm_catalog,dom-parse,swar8,3439200,1727204
22,citm_catalog,dom-parse,avx2,3305000,1727204
23,citm_catalog,dom-parse,swar8,3521600,1727204
23,citm_catalog,dom-parse,avx2,3490800,1727204
24,citm_catalog,dom-parse,swar8,3540000,1727204
24,citm_catalog,dom-parse,avx2,3390900,1727204
25,citm_catalog,dom-parse,swar8,3339500,1727204
25,citm_catalog,dom-parse,avx2,3576700,1727204
26,citm_catalog,dom-parse,swar8,3540200,1727204
26,citm_catalog,dom-parse,avx2,3398500,1727204
27,citm_catalog,dom-parse,swar8,3446200,1727204
27,citm_catalog,dom-parse,avx2,3406800,1727204
28,citm_catalog,dom-parse,swar8,3490900,1727204
28,citm_catalog,dom-parse,avx2,3553300,1727204
29,citm_catalog,dom-parse,swar8,3454800,1727204
29,citm_catalog,dom-parse,avx2,3527700,1727204
30,citm_catalog,dom-parse,swar8,3555400,1727204
30,citm_catalog,dom-parse,avx2,3456300,1727204
31,citm_catalog,dom-parse,swar8,3694500,1727204
31,citm_catalog,dom-parse,avx2,3598500,1727204
32,citm_catalog,dom-parse,swar8,3552800,1727204
32,citm_catalog,dom-parse,avx2,3329500,1727204
33,citm_catalog,dom-parse,swar8,3350900,1727204
33,citm_catalog,dom-parse,avx2,3544400,1727204
34,citm_catalog,dom-parse,swar8,3582700,1727204
34,citm_catalog,dom-parse,avx2,3444200,1727204
35,citm_catalog,dom-parse,swar8,3542400,1727204
35,citm_catalog,dom-parse,avx2,3527000,1727204
36,citm_catalog,dom-parse,swar8,3589800,1727204
36,citm_catalog,dom-parse,avx2,3558100,1727204
37,citm_catalog,dom-parse,swar8,3594600,1727204
37,citm_catalog,dom-parse,avx2,3539100,1727204
38,citm_catalog,dom-parse,swar8,3420900,1727204
38,citm_catalog,dom-parse,avx2,3587900,1727204
39,citm_catalog,dom-parse,swar8,3611900,1727204
39,citm_catalog,dom-parse,avx2,3577400,1727204
40,citm_catalog,dom-parse,swar8,3495400,1727204
40,citm_catalog,dom-parse,avx2,3516000,1727204
41,citm_catalog,dom-parse,swar8,3613800,1727204
41,citm_catalog,dom-parse,avx2,3518600,1727204
42,citm_catalog,dom-parse,swar8,3609400,1727204
42,citm_catalog,dom-parse,avx2,3582900,1727204
43,citm_catalog,dom-parse,swar8,3502100,1727204
43,citm_catalog,dom-parse,avx2,3529600,1727204
44,citm_catalog,dom-parse,swar8,3529800,1727204
44,citm_catalog,dom-parse,avx2,3469000,1727204
