pair,file,column,arm,min_ns,bytes
58,canada,dom-stringify,folded,2156300,2063469
59,canada,dom-stringify,no_fold,2144900,2063469
59,canada,dom-stringify,folded,2219900,2063469
60,canada,dom-stringify,no_fold,2208600,2063469
60,canada,dom-stringify,folded,2198900,2063469
61,canada,dom-stringify,no_fold,2157300,2063469
61,canada,dom-stringify,folded,2109400,2063469
1,citm_catalog,dom-stringify,no_fold,445600,500299
1,citm_catalog,dom-stringify,folded,486900,500299
2,citm_catalog,dom-stringify,no_fold,479300,500299
2,citm_catalog,dom-stringify,folded,499400,500299
3,citm_catalog,dom-stringify,no_fold,447800,500299
3,citm_catalog,dom-stringify,folded,504900,500299
4,citm_catalog,dom-stringify,no_fold,446900,500299
4,citm_catalog,dom-stringify,folded,502200,500299
5,citm_catalog,dom-stringify,no_fold,455300,500299
5,citm_catalog,dom-stringify,folded,494800,500299
6,citm_catalog,dom-stringify,no_fold,448900,500299
6,citm_catalog,dom-stringify,folded,495400,500299
7,citm_catalog,dom-stringify,no_fold,439800,500299
7,citm_catalog,dom-stringify,folded,488300,500299
8,citm_catalog,dom-stringify,no_fold,447800,500299
8,citm_catalog,dom-stringify,folded,495100,500299
9,citm_catalog,dom-stringify,no_fold,453100,500299
9,citm_catalog,dom-stringify,folded,493000,500299
10,citm_catalog,dom-stringify,no_fold,453200,500299
10,citm_catalog,dom-stringify,folded,510600,500299
11,citm_catalog,dom-stringify,no_fold,457900,500299
11,citm_catalog,dom-stringify,folded,496200,500299
12,citm_catalog,dom-stringify,no_fold,455500,500299
12,citm_catalog,dom-stringify,folded,491400,500299
13,citm_catalog,dom-stringify,no_fold,452700,500299
13,citm_catalog,dom-stringify,folded,503900,500299
14,citm_catalog,dom-stringify,no_fold,437500,500299
14,citm_catalog,dom-stringify,folded,458800,500299
15,citm_catalog,dom-stringify,no_fold,461000,500299
15,citm_catalog,dom-stringify,folded,503500,500299
16,citm_catalog,dom-stringify,no_fold,449200,500299
16,citm_catalog,dom-stringify,folded,486300,500299
17,citm_catalog,dom-stringify,no_fold,457300,500299
17,citm_catalog,dom-stringify,folded,482300,500299
18,citm_catalog,dom-stringify,no_fold,449000,500299
18,citm_catalog,dom-stringify,folded,496700,500299
19,citm_catalog,dom-stringify,no_fold,450000,500299
19,citm_catalog,dom-stringify,folded,478200,500299
20,citm_catalog,dom-stringify,no_fold,427400,500299
20,citm_catalog,dom-stringify,folded,487400,500299
21,citm_catalog,dom-stringify,no_fold,455000,500299
21,citm_catalog,dom-stringify,folded,467200,500299
22,citm_catalog,dom-stringify,no_fold,435700,500299
22,citm_catalog,dom-stringify,folded,487900,500299
23,citm_catalog,dom-stringify,no_fold,455600,500299
23,citm_catalog,dom-stringify,folded,477800,500299
24,citm_catalog,dom-stringify,no_fold,441000,500299
24,citm_catalog,dom-stringify,folded,475000,500299
25,citm_catalog,dom-stringify,no_fold,424800,500299
25,citm_catalog,dom-stringify,folded,470300,500299
26,citm_catalog,dom-stringify,no_fold,432100,500299
26,citm_catalog,dom-stringify,folded,500500,500299
27,citm_catalog,dom-stringify,no_fold,435700,500299
27,citm_catalog,dom-stringify,folded,490000,500299
28,citm_catalog,dom-stringify,no_fold,434100,500299
28,citm_catalog,dom-stringify,folded,481500,500299
29,citm_catalog,dom-stringify,no_fold,438400,500299
29,citm_catalog,dom-stringify,folded,456700,500299
30,citm_catalog,dom-stringify,no_fold,435800,500299
30,citm_catalog,dom-stringify,folded,469600,500299
31,citm_catalog,dom-stringify,no_fold,433700,500299
31,citm_catalog,dom-stringify,folded,478900,500299
32,citm_catalog,dom-stringify,no_fold,437200,500299
32,citm_catalog,dom-stringify,folded,470600,500299
33,citm_catalog,dom-stringify,no_fold,455400,500299
33,citm_catalog,dom-stringify,folded,499100,500299
34,citm_catalog,dom-stringify,no_fold,448200,500299
34,citm_catalog,dom-stringify,folded,477400,500299
35,citm_catalog,dom-stringify,no_fold,446600,500299
35,citm_catalog,dom-stringify,folded,495000,500299
36,citm_catalog,dom-stringify,no_fold,436900,500299
36,citm_catalog,dom-stringify,folded,478800,500299
37,citm_catalog,dom-stringify,no_fold,441700,500299
37,citm_catalog,dom-stringify,folded,459300,500299
38,citm_catalog,dom-stringify,no_fold,449700,500299
38,citm_catalog,dom-stringify,folded,464700,500299
39,citm_catalog,dom-stringify,no_fold,438900,500299
39,citm_catalog,dom-stringify,folded,473000,500299
40,citm_catalog,dom-stringify,no_fold,426500,500299
40,citm_catalog,dom-stringify,folded,456400,500299
41,citm_catalog,dom-stringify,no_fold,425500,500299
41,citm_catalog,dom-stringify,folded,459700,500299
42,citm_catalog,dom-stringify,no_fold,432800,500299
42,citm_catalog,dom-stringify,folded,467000,500299
43,citm_catalog,dom-stringify,no_fold,433300,500299
43,citm_catalog,dom-stringify,folded,467800,500299
44,citm_catalog,dom-stringify,no_fold,457900,500299
44,citm_catalog,dom-stringify,folded,488900,500299
45,citm_catalog,dom-stringify,no_fold,451900,500299
45,citm_catalog,dom-stringify,folded,479300,500299
46,citm_catalog,dom-stringify,no_fold,439000,500299
46,citm_catalog,dom-stringify,folded,472700,500299
47,citm_catalog,dom-stringify,no_fold,440200,500299
47,citm_catalog,dom-stringify,folded,479400,500299
48,citm_catalog,dom-stringify,no_fold,440600,500299
48,citm_catalog,dom-stringify,folded,492600,500299
49,citm_catalog,dom-stringify,no_fold,433900,500299
49,citm_catalog,dom-stringify,folded,488300,500299
50,citm_catalog,dom-stringify,no_fold,440700,500299
50,citm_catalog,dom-stringify,folded,476600,500299
51,citm_catalog,dom-stringify,no_fold,438900,500299
51,citm_catalog,dom-stringify,folded,490000,500299
52,citm_catalog,dom-stringify,no_fold,447300,500299
52,citm_catalog,dom-stringify,folded,468600,500299
53,citm_catalog,dom-stringify,no_fold,457800,500299
53,citm_catalog,dom-stringify,folded,475700,500299
54,citm_catalog,dom-stringify,no_fold,439300,500299
54,citm_catalog,dom-stringify,folded,474300,500299
55,citm_catalog,dom-stringify,no_fold,434500,500299
55,citm_catalog,dom-stringify,folded,473600,500299
56,citm_catalog,dom-stringify,no_fold,437000,500299
56,citm_catalog,dom-stringify,folded,456900,500299
57,citm_catalog,dom-stringify,no_fold,434900,500299
57,citm_catalog,dom-stringify,folded,461500,500299
58,citm_catalog,dom-stringify,no_fold,423800,500299
58,citm_catalog,dom-stringify,folded,478000,500299
59,citm_catalog,dom-stringify,no_fold,447300,500299
59,citm_catalog,dom-stringify,folded,464200,500299
60,citm_catalog,dom-stringify,no_fold,422500,500299
