pair,file,column,arm,min_ns,bytes
11,citm_catalog,struct-stringify,fold-off,349600,500299
11,citm_catalog,struct-stringify,fold-on,320200,500299
12,citm_catalog,struct-stringify,fold-off,343100,500299
12,citm_catalog,struct-stringify,fold-on,336400,500299
13,citm_catalog,struct-stringify,fold-off,350000,500299
13,citm_catalog,struct-stringify,fold-on,357000,500299
14,citm_catalog,struct-stringify,fold-off,331400,500299
14,citm_catalog,struct-stringify,fold-on,319600,500299
15,citm_catalog,struct-stringify,fold-off,331000,500299
15,citm_catalog,struct-stringify,fold-on,328100,500299
16,citm_catalog,struct-stringify,fold-off,358400,500299
16,citm_catalog,struct-stringify,fold-on,342600,500299
17,citm_catalog,struct-stringify,fold-off,339700,500299
17,citm_catalog,struct-stringify,fold-on,338100,500299
18,citm_catalog,struct-stringify,fold-off,340400,500299
18,citm_catalog,struct-stringify,fold-on,313400,500299
19,citm_catalog,struct-stringify,fold-off,342700,500299
19,citm_catalog,struct-stringify,fold-on,347300,500299
20,citm_catalog,struct-stringify,fold-off,313500,500299
20,citm_catalog,struct-stringify,fold-on,310800,500299
21,citm_catalog,struct-stringify,fold-off,315800,500299
21,citm_catalog,struct-stringify,fold-on,302500,500299
1,s4-frame-telemetry,struct-stringify,fold-off,952900,595115
1,s4-frame-telemetry,struct-stringify,fold-on,885400,595115
2,s4-frame-telemetry,struct-stringify,fold-off,1251600,595115
2,s4-frame-telemetry,struct-stringify,fold-on,1226400,595115
3,s4-frame-telemetry,struct-stringify,fold-off,1414700,595115
3,s4-frame-telemetry,struct-stringify,fold-on,1269700,595115
4,s4-frame-telemetry,struct-stringify,fold-off,930200,595115
4,s4-frame-telemetry,struct-stringify,fold-on,1369400,595115
5,s4-frame-telemetry,struct-stringify,fold-off,985000,595115
5,s4-frame-telemetry,struct-stringify,fold-on,875200,595115
6,s4-frame-telemetry,struct-stringify,fold-off,869000,595115
6,s4-frame-telemetry,struct-stringify,fold-on,919100,595115
7,s4-frame-telemetry,struct-stringify,fold-off,890400,595115
7,s4-frame-telemetry,struct-stringify,fold-on,972700,595115
8,s4-frame-telemetry,struct-stringify,fold-off,852600,595115
8,s4-frame-telemetry,struct-stringify,fold-on,1006300,595115
9,s4-frame-telemetry,struct-stringify,fold-off,892600,595115
9,s4-frame-telemetry,struct-stringify,fold-on,875400,595115
10,s4-frame-telemetry,struct-stringify,fold-off,1187700,595115
10,s4-frame-telemetry,struct-stringify,fold-on,976700,595115
11,s4-frame-telemetry,struct-stringify,fold-off,988900,595115
11,s4-frame-telemetry,struct-stringify,fold-on,921900,595115
12,s4-frame-telemetry,struct-stringify,fold-off,887900,595115
12,s4-frame-telemetry,struct-stringify,fold-on,944700,595115
13,s4-frame-telemetry,struct-stringify,fold-off,965100,595115
13,s4-frame-telemetry,struct-stringify,fold-on,945700,595115
14,s4-frame-telemetry,struct-stringify,fold-off,885900,595115
14,s4-frame-telemetry,struct-stringify,fold-on,893000,595115
15,s4-frame-telemetry,struct-stringify,fold-off,870500,595115
15,s4-frame-telemetry,struct-stringify,fold-on,896700,595115
16,s4-frame-telemetry,struct-stringify,fold-off,1019000,595115
16,s4-frame-telemetry,struct-stringify,fold-on,916700,595115
17,s4-frame-telemetry,struct-stringify,fold-off,940700,595115
17,s4-frame-telemetry,struct-stringify,fold-on,882300,595115
18,s4-frame-telemetry,struct-stringify,fold-off,940900,595115
18,s4-frame-telemetry,struct-stringify,fold-on,915200,595115
19,s4-frame-telemetry,struct-stringify,fold-off,959300,595115
19,s4-frame-telemetry,struct-stringify,fold-on,921600,595115
20,s4-frame-telemetry,struct-stringify,fold-off,877300,595115
20,s4-frame-telemetry,struct-stringify,fold-on,907900,595115
21,s4-frame-telemetry,struct-stringify,fold-off,822800,595115
21,s4-frame-telemetry,struct-stringify,fold-on,767400,595115
1,twitter,dom-stringify,fold-off,282100,466906
1,twitter,dom-stringify,fold-on,258400,466906
2,twitter,dom-stringify,fold-off,289700,466906
2,twitter,dom-stringify,fold-on,368600,466906
3,twitter,dom-stringify,fold-off,289600,466906
3,twitter,dom-stringify,fold-on,399600,466906
4,twitter,dom-stringify,fold-off,286300,466906
4,twitter,dom-stringify,fold-on,288900,466906
