pair,file,column,arm,min_ns,bytes
12,s4-frame-telemetry,struct-stringify,null-a,848500,595115
12,s4-frame-telemetry,struct-stringify,null-b,850100,595115
13,s4-frame-telemetry,struct-stringify,null-a,733700,595115
13,s4-frame-telemetry,struct-stringify,null-b,676100,595115
14,s4-frame-telemetry,struct-stringify,null-a,702300,595115
14,s4-frame-telemetry,struct-stringify,null-b,702500,595115
15,s4-frame-telemetry,struct-stringify,null-a,703700,595115
15,s4-frame-telemetry,struct-stringify,null-b,702200,595115
16,s4-frame-telemetry,struct-stringify,null-a,703600,595115
16,s4-frame-telemetry,struct-stringify,null-b,722100,595115
17,s4-frame-telemetry,struct-stringify,null-a,670000,595115
17,s4-frame-telemetry,struct-stringify,null-b,670400,595115
18,s4-frame-telemetry,struct-stringify,null-a,706900,595115
18,s4-frame-telemetry,struct-stringify,null-b,688100,595115
19,s4-frame-telemetry,struct-stringify,null-a,703800,595115
19,s4-frame-telemetry,struct-stringify,null-b,695000,595115
20,s4-frame-telemetry,struct-stringify,null-a,787800,595115
20,s4-frame-telemetry,struct-stringify,null-b,704300,595115
21,s4-frame-telemetry,struct-stringify,null-a,801600,595115
21,s4-frame-telemetry,struct-stringify,null-b,721300,595115
1,twitter,dom-stringify,null-a,232000,466906
1,twitter,dom-stringify,null-b,237000,466906
2,twitter,dom-stringify,null-a,237600,466906
2,twitter,dom-stringify,null-b,237700,466906
3,twitter,dom-stringify,null-a,236000,466906
3,twitter,dom-stringify,null-b,232500,466906
4,twitter,dom-stringify,null-a,229700,466906
4,twitter,dom-stringify,null-b,227100,466906
5,twitter,dom-stringify,null-a,236600,466906
5,twitter,dom-stringify,null-b,235600,466906
6,twitter,dom-stringify,null-a,232100,466906
6,twitter,dom-stringify,null-b,230600,466906
7,twitter,dom-stringify,null-a,237400,466906
7,twitter,dom-stringify,null-b,233100,466906
8,twitter,dom-stringify,null-a,226200,466906
8,twitter,dom-stringify,null-b,230500,466906
9,twitter,dom-stringify,null-a,225700,466906
9,twitter,dom-stringify,null-b,227600,466906
10,twitter,dom-stringify,null-a,225600,466906
10,twitter,dom-stringify,null-b,230300,466906
11,twitter,dom-stringify,null-a,235000,466906
11,twitter,dom-stringify,null-b,225400,466906
12,twitter,dom-stringify,null-a,242800,466906
12,twitter,dom-stringify,null-b,282100,466906
13,twitter,dom-stringify,null-a,232100,466906
13,twitter,dom-stringify,null-b,227600,466906
14,twitter,dom-stringify,null-a,226200,466906
14,twitter,dom-stringify,null-b,237500,466906
15,twitter,dom-stringify,null-a,225400,466906
15,twitter,dom-stringify,null-b,226300,466906
16,twitter,dom-stringify,null-a,220700,466906
16,twitter,dom-stringify,null-b,231300,466906
17,twitter,dom-stringify,null-a,231200,466906
17,twitter,dom-stringify,null-b,228400,466906
18,twitter,dom-stringify,null-a,226500,466906
18,twitter,dom-stringify,null-b,233700,466906
19,twitter,dom-stringify,null-a,226900,466906
19,twitter,dom-stringify,null-b,231400,466906
20,twitter,dom-stringify,null-a,249000,466906
20,twitter,dom-stringify,null-b,238400,466906
21,twitter,dom-stringify,null-a,242400,466906
21,twitter,dom-stringify,null-b,266300,466906
